age,gender,work_experience,canada_workex,dep_num,canada_born,citizen_status,level_of_schooling,fluent_english,reading_english_scale,speaking_english_scale,writing_english_scale,numeracy_scale,computer_scale,transportation_bool,caregiver_bool,housing,income_source,felony_bool,attending_school,currently_employed,substance_use,time_unemployed,need_mental_health_support_bool,employment_assistance,life_stabilization,retention_services,specialized_services,employment_related_financial_supports,employer_financial_supports,enhanced_referrals,success_rate
39,0,20,7,3,1,1,8,6,7,7,6,8,9,0,0,8,9,0,0,0,0,1,1,1,1,0,1,0,1,0,67
26,1,8,4,0,1,0,12,4,4,5,3,9,7,0,1,1,1,1,1,1,0,3,1,1,0,0,1,1,0,1,68
18,1,0,0,1,0,0,8,4,3,5,4,8,3,0,1,4,3,1,1,1,0,6,1,1,0,1,1,0,0,1,51
28,0,7,4,0,0,1,8,7,6,7,6,6,7,0,1,3,5,0,0,0,0,6,1,0,0,0,1,0,0,0,56
27,1,6,1,3,1,1,8,5,4,6,4,8,5,1,1,8,7,0,0,0,0,6,0,1,0,1,0,1,1,1,50
33,1,14,8,2,0,1,8,7,8,7,6,8,5,1,0,6,1,1,0,0,0,7,0,0,1,0,1,0,1,1,62
29,0,8,7,0,0,0,12,7,6,8,8,4,8,1,0,3,1,1,1,1,0,6,1,0,0,0,1,0,1,1,66
21,0,1,0,3,1,1,12,9,10,9,10,7,9,0,0,6,6,1,0,0,1,2,0,0,1,1,0,0,0,0,63
34,0,15,8,1,0,0,10,7,7,6,7,4,9,1,0,9,3,0,0,1,0,3,0,1,0,1,0,0,1,1,67
22,1,3,1,2,1,1,10,9,10,8,10,3,9,1,1,8,4,0,0,0,0,3,1,0,1,1,1,1,0,0,56
29,0,9,3,3,0,1,8,5,5,5,4,4,9,0,0,4,3,0,0,1,0,4,1,1,1,1,1,0,1,1,61
21,1,0,0,3,0,1,10,4,4,3,4,9,9,0,0,7,9,1,0,0,0,6,0,0,0,1,1,1,1,0,45
18,0,0,0,4,1,1,8,6,7,5,7,4,5,0,0,2,5,1,0,0,0,0,1,1,1,0,1,0,0,1,41
36,1,17,6,1,1,0,8,7,6,7,6,5,5,1,1,3,5,1,0,1,1,0,1,0,1,0,1,0,1,0,64
24,0,5,2,2,0,0,10,9,8,10,8,9,9,0,0,2,7,0,1,1,1,6,1,1,1,1,0,1,0,1,73
31,1,13,11,4,1,1,8,6,7,5,6,4,8,0,0,2,9,0,0,0,0,1,0,1,1,0,1,0,0,0,61
39,0,19,9,4,1,1,10,6,6,6,5,7,5,0,1,3,2,0,1,0,0,4,1,0,1,1,1,0,1,0,70
18,0,0,0,4,0,0,10,5,5,5,4,4,3,0,1,4,3,0,0,1,0,6,0,1,0,0,0,1,1,0,35
43,0,25,21,4,0,0,8,8,7,8,8,8,6,0,0,6,5,1,1,0,1,0,0,1,0,1,1,1,0,0,73
32,0,12,6,1,1,1,10,9,8,10,10,7,3,1,1,2,9,0,1,0,0,6,1,0,1,1,1,0,1,0,62
18,1,0,0,2,0,1,8,7,6,6,8,5,3,1,1,1,5,1,0,1,1,5,0,0,1,0,0,0,0,1,28
44,0,25,9,3,1,0,14,4,3,3,4,6,5,1,0,6,5,1,0,0,1,5,1,1,0,1,0,1,0,0,69
24,0,4,3,2,0,0,6,7,8,6,8,7,3,0,1,1,2,0,0,0,1,7,0,0,0,0,1,0,0,0,33
22,1,1,0,4,1,1,12,8,7,9,8,4,7,1,0,4,9,0,1,1,0,0,0,1,1,0,0,1,1,1,57
28,1,8,4,3,0,0,10,4,3,3,3,5,8,1,1,6,9,0,1,0,0,2,0,1,0,1,1,1,1,1,55
37,0,18,13,4,0,0,10,6,6,6,7,4,6,0,1,8,7,0,1,1,0,4,0,1,1,0,0,0,1,0,55
31,1,12,10,1,1,0,12,8,9,9,7,3,7,1,0,8,6,0,1,0,0,1,0,1,1,1,1,1,0,0,65
25,0,5,2,4,0,1,14,7,8,8,6,9,3,0,1,3,3,0,0,1,0,3,0,0,1,0,1,0,1,1,60
23,1,3,1,3,1,1,8,4,3,3,4,6,8,1,1,9,7,0,1,0,1,5,0,1,0,1,1,0,1,0,43
41,1,22,12,1,1,0,10,5,4,4,5,8,3,0,1,9,1,0,0,1,1,7,1,0,0,1,1,1,0,0,61
21,0,3,1,1,1,1,10,6,7,5,7,4,5,0,0,5,4,1,0,0,0,0,1,1,1,1,1,0,1,1,45
39,1,19,14,2,0,0,10,9,9,8,10,8,9,0,0,5,4,1,0,0,1,4,1,1,1,1,1,0,0,0,84
37,1,19,6,4,1,0,8,5,5,4,5,6,7,1,1,1,7,0,0,1,0,5,1,1,0,1,1,0,1,1,54
23,1,4,2,0,1,1,8,8,8,9,9,9,3,1,0,2,4,0,1,0,0,0,0,1,1,0,1,1,0,1,44
32,1,11,7,3,1,1,6,6,6,6,7,4,7,1,1,2,2,0,1,1,1,1,1,1,0,1,0,1,0,0,54
37,0,18,14,4,1,0,10,8,8,7,8,8,4,1,1,2,4,1,1,1,1,4,0,1,0,0,0,1,1,1,66
38,1,18,12,2,1,1,10,8,7,8,8,6,4,0,1,2,9,0,1,0,1,1,0,0,1,1,0,0,1,0,60
32,0,11,8,1,0,0,12,5,4,6,6,5,4,0,1,1,7,1,0,1,0,4,0,0,0,1,0,1,1,0,49
19,1,0,0,0,1,0,14,5,6,4,5,9,5,0,0,8,5,1,1,1,0,0,1,0,1,0,1,1,0,1,48
40,1,20,17,0,0,0,10,6,7,7,7,8,3,1,0,5,5,1,1,1,1,5,1,0,1,1,0,0,1,0,64
30,1,12,4,1,1,0,10,9,9,8,10,6,3,0,0,6,3,0,0,1,1,5,0,1,0,1,0,0,0,0,56
20,0,0,0,0,0,1,12,7,6,8,7,3,4,0,1,7,3,1,1,0,0,3,0,1,1,1,0,0,0,0,50
32,1,13,9,1,1,1,8,7,7,6,6,4,5,0,0,5,9,0,1,1,1,1,0,1,1,0,0,1,0,1,57
34,0,14,5,0,0,1,8,5,5,5,4,5,4,1,0,9,4,0,0,0,0,6,1,1,0,0,0,1,1,0,55
28,0,9,7,2,1,0,10,8,8,9,8,4,3,0,0,3,8,1,1,1,1,4,0,1,0,1,1,1,0,1,46
36,1,15,8,0,0,0,10,8,7,9,9,9,3,0,1,1,1,1,1,0,0,4,1,1,1,0,1,0,1,1,61
36,1,15,10,2,1,1,10,9,10,10,8,3,6,1,1,2,6,0,0,0,1,0,1,1,0,0,1,1,1,1,67
25,1,4,3,2,0,0,12,6,5,5,7,9,6,0,0,1,6,0,0,1,1,7,0,1,0,1,0,1,0,0,55
38,0,17,8,3,1,0,8,9,10,10,8,3,8,1,0,4,5,0,0,1,1,7,1,0,0,1,0,1,1,0,56
29,0,8,5,3,0,0,8,4,3,3,4,7,7,1,1,7,3,1,1,0,0,0,1,0,0,0,1,0,1,0,51
20,1,1,0,3,1,1,10,5,5,6,6,3,6,1,0,4,3,1,0,1,0,3,0,0,1,1,0,0,1,0,38
32,0,13,9,1,0,0,12,5,6,5,5,8,8,1,0,8,1,1,1,1,0,4,1,1,0,1,0,0,1,1,64
33,0,13,11,2,1,0,12,5,5,5,5,9,5,1,0,7,2,0,1,0,0,3,1,1,0,0,1,0,1,1,57
26,1,8,5,1,0,1,8,7,8,8,8,7,6,0,1,7,8,0,0,0,0,1,1,0,0,0,1,1,1,0,63
18,0,0,0,0,0,1,6,7,6,7,8,6,3,0,1,5,6,1,0,0,0,1,0,1,1,1,1,0,0,1,38
42,0,22,11,0,0,0,8,7,6,8,7,4,9,0,1,5,7,0,1,1,1,6,0,0,1,1,1,0,0,1,67
38,0,18,11,2,0,1,12,7,7,7,8,5,8,1,0,9,7,0,1,0,0,5,1,0,0,0,1,1,0,1,60
34,1,15,4,3,1,1,14,5,5,4,6,5,3,0,0,3,8,1,1,1,1,2,1,1,0,1,1,0,1,1,55
31,0,11,4,0,1,1,6,9,8,10,10,3,6,1,0,1,2,1,1,1,0,2,1,1,0,1,0,0,1,0,54
18,1,0,0,4,1,0,12,9,10,10,8,6,4,0,0,8,4,0,1,1,1,2,1,0,1,0,1,0,1,0,53
29,0,11,9,4,1,1,8,9,9,8,10,9,3,1,0,1,2,0,1,0,0,2,0,0,1,1,1,0,1,1,58
28,0,9,6,1,1,1,10,8,9,9,7,6,9,1,1,8,6,0,0,0,0,7,0,0,0,1,1,0,1,0,70
32,1,11,9,2,0,0,14,7,6,7,6,3,3,0,0,8,9,1,1,0,1,1,0,1,0,1,1,1,0,0,52
43,1,23,17,0,0,1,8,4,4,4,3,7,7,0,1,2,9,0,0,1,0,6,0,1,1,1,1,0,1,0,51
25,0,4,3,4,0,1,8,4,5,3,3,4,3,0,0,2,5,0,0,1,1,4,1,0,0,0,1,1,0,1,34
30,0,9,3,3,0,0,6,7,7,7,7,8,5,1,1,8,1,1,0,0,1,1,0,0,0,1,0,1,0,1,49
31,0,11,4,2,0,1,10,8,8,9,9,8,3,0,0,3,4,0,1,0,1,6,0,1,1,0,1,0,1,1,39
30,0,9,5,2,1,0,8,7,7,7,6,8,3,1,1,2,1,1,0,1,0,1,1,1,1,0,0,1,0,0,48
56,1,35,22,4,1,1,12,9,9,10,8,3,6,1,0,7,2,0,1,1,1,7,0,0,0,1,0,0,1,0,85
