age,gender,work_experience,canada_workex,dep_num,canada_born,citizen_status,level_of_schooling,fluent_english,reading_english_scale,speaking_english_scale,writing_english_scale,numeracy_scale,computer_scale,transportation_bool,caregiver_bool,housing,income_source,felony_bool,attending_school,currently_employed,substance_use,time_unemployed,need_mental_health_support_bool,employment_assistance,life_stabilization,retention_services,specialized_services,employment_related_financial_supports,employer_financial_supports,enhanced_referrals,success_rate
33,1,12,8,0,0,1,10,7,7,7,8,3,3,0,0,1,7,0,1,1,0,7,1,0,0,1,0,1,0,1,65
28,1,8,2,1,1,0,6,9,8,10,8,4,9,1,1,8,9,1,1,0,0,0,1,0,0,1,0,0,1,0,48
35,1,16,9,3,1,0,8,5,5,4,4,9,7,0,0,4,1,1,1,0,1,1,0,0,0,0,1,1,0,0,55
42,0,21,8,3,1,1,10,9,9,8,10,5,7,0,1,7,9,1,1,1,1,5,0,1,1,0,1,0,0,1,62
28,0,7,4,0,0,1,10,7,7,7,6,9,8,1,1,3,9,1,0,0,1,1,1,1,1,0,0,1,0,0,49
28,0,10,6,4,1,1,8,5,5,5,4,6,4,1,0,2,4,0,1,0,0,4,1,1,1,0,1,0,0,1,54
42,1,21,13,2,1,0,8,5,6,6,4,9,5,1,0,1,5,1,0,0,1,3,1,0,0,1,1,0,1,0,46
36,1,17,12,3,0,0,12,4,3,3,4,8,4,1,0,5,6,1,0,1,1,2,1,0,1,1,1,0,1,0,60
26,1,8,4,1,0,1,14,8,7,7,9,7,3,1,1,3,4,1,1,1,0,6,0,0,1,0,1,1,1,1,53
34,1,16,12,4,1,1,8,4,4,3,5,7,4,1,0,3,6,1,1,1,1,5,1,0,1,0,1,0,1,0,43
26,0,7,3,0,1,1,10,4,5,3,5,8,9,1,1,8,5,1,1,1,0,6,1,0,1,0,1,1,1,0,59
26,0,6,3,0,0,0,10,9,9,9,8,8,3,1,0,1,3,1,0,0,0,7,0,1,0,1,0,0,0,1,49
31,1,10,6,1,0,0,12,7,6,7,6,5,9,1,0,2,3,0,0,0,0,1,1,0,0,1,1,1,0,0,70
18,1,0,0,4,0,1,10,9,8,10,8,4,4,0,0,1,9,1,0,1,0,7,0,1,0,1,0,1,1,1,46
18,1,0,0,1,1,1,14,7,6,6,7,3,7,1,1,7,5,0,1,1,1,3,1,1,0,0,0,0,1,1,49
25,0,6,4,3,0,0,10,9,9,9,8,4,5,0,1,4,3,0,1,0,0,4,1,0,1,0,1,0,0,1,62
21,0,0,0,4,1,1,10,5,5,5,5,4,4,1,1,3,8,1,0,1,0,0,1,0,0,0,0,1,0,1,34
32,1,11,3,2,1,0,10,7,8,6,8,3,8,1,0,3,8,0,0,1,0,2,1,0,0,1,0,0,1,0,67
22,1,4,1,2,1,0,14,7,8,7,6,7,9,0,0,3,3,0,1,1,0,5,0,1,0,1,1,1,1,1,71
18,0,0,0,1,0,1,12,9,8,10,9,4,3,0,1,2,7,0,1,1,1,0,1,1,1,1,1,1,1,0,56
41,1,20,14,2,0,0,6,6,5,7,6,6,9,0,0,5,9,0,0,1,1,2,1,1,0,1,1,1,0,1,65
28,0,7,2,1,1,0,8,5,6,4,4,6,8,0,1,1,3,1,0,1,0,1,0,1,1,1,1,0,0,1,58
30,1,9,4,3,1,0,10,5,4,6,5,5,5,1,0,5,8,0,0,0,1,7,0,1,0,1,0,0,0,1,42
18,0,0,0,3,0,0,8,6,7,6,5,5,8,1,1,8,1,1,1,0,0,3,1,0,1,1,1,1,0,0,41
25,1,5,4,1,1,0,12,9,9,10,9,9,7,1,0,7,3,1,1,1,0,4,1,1,0,1,1,1,1,0,63
30,0,11,3,3,0,0,12,9,8,9,10,3,9,1,1,3,4,0,0,1,1,7,0,0,0,0,0,1,1,1,62
20,0,1,0,2,1,1,12,5,4,4,6,3,7,1,0,9,3,0,1,0,0,2,1,1,0,0,0,1,1,1,42
33,1,15,12,3,0,0,14,9,10,8,10,5,6,1,1,7,9,0,0,0,1,1,1,0,0,1,1,0,1,1,67
25,0,4,1,2,1,0,8,8,8,8,7,8,5,0,1,1,5,0,0,1,0,5,0,1,1,1,0,1,0,1,68
27,1,8,3,2,1,0,12,8,7,8,9,4,4,1,1,6,3,1,0,1,0,4,0,1,1,1,1,1,1,0,56
25,0,4,3,0,1,0,12,6,5,7,7,8,7,0,0,4,3,0,0,1,0,2,1,1,1,1,1,0,1,1,78
44,1,25,16,3,0,0,10,7,8,7,8,7,4,1,1,6,2,0,0,0,1,6,1,1,1,0,0,1,0,1,68
29,1,10,4,3,0,1,12,8,8,7,7,6,9,1,0,3,6,1,0,1,0,1,0,1,1,0,1,1,1,1,69
21,0,3,1,1,0,0,8,9,10,9,9,3,4,0,1,5,9,1,0,1,0,4,1,0,1,0,1,0,0,1,32
36,1,16,5,1,1,0,12,6,6,7,5,5,9,1,1,3,7,1,1,0,0,0,0,1,1,1,1,1,1,1,65
20,1,0,0,4,1,1,10,8,8,9,7,6,3,1,1,7,2,1,0,0,1,7,0,0,1,1,1,0,1,0,25
31,1,12,9,2,0,0,8,4,5,4,5,8,8,0,1,5,9,0,1,1,0,6,0,0,0,1,1,1,0,1,74
18,1,0,0,0,0,1,12,6,7,7,6,3,4,0,0,4,3,0,0,1,1,3,1,0,0,0,0,0,0,0,43
19,0,0,0,2,0,1,10,5,5,6,6,3,9,1,0,7,7,1,0,0,1,3,0,0,0,0,0,0,0,1,27
31,0,10,8,3,1,0,8,8,9,7,9,9,6,0,1,7,7,0,0,1,1,5,0,1,0,0,1,0,0,0,53
35,1,16,8,4,0,1,6,5,4,5,4,4,5,0,0,9,4,1,0,1,1,6,1,1,1,1,1,0,1,1,47
31,0,11,4,2,0,1,10,6,5,5,5,3,5,0,0,3,4,0,0,0,0,6,0,1,0,1,0,1,0,0,48
29,1,11,6,4,1,0,10,8,7,7,7,7,3,1,1,8,2,1,0,1,0,5,0,1,0,0,1,0,1,0,47
27,1,7,5,2,0,0,12,5,4,6,6,3,6,0,0,7,2,1,1,0,1,0,0,0,0,0,0,1,1,1,32
18,1,0,0,3,0,1,14,7,6,6,7,7,8,1,0,9,2,1,0,1,1,7,0,1,1,0,1,0,1,0,51
24,0,4,1,3,0,1,10,7,8,7,7,8,6,0,0,2,5,0,0,0,0,7,0,0,0,1,1,0,0,1,67
